PROD_NAME,TOT_SALES
RRD SR Slow Rst     Pork Belly 150g,7778.700000000001
RRD Salt & Vinegar  165g,8364.0
RRD Steak &         Chimuchurri 150g,7449.3
RRD Sweet Chilli &  Sour Cream 165g,8574.0
Red Rock Deli Chikn&Garlic Aioli 150g,7384.500000000001
Red Rock Deli SR    Salsa & Mzzrlla 150g,7438.500000000001
Red Rock Deli Sp    Salt & Truffle 150G,7678.8
Red Rock Deli Thai  Chilli&Lime 150g,7589.700000000001
Smith Crinkle Cut   Bolognese 150g,7118.8
Smith Crinkle Cut   Mac N Cheese 150g,7464.6
Smiths Chip Thinly  Cut Original 175g,9135.0
Smiths Chip Thinly  CutSalt/Vinegr175g,8196.0
Smiths Chip Thinly  S/Cream&Onion 175g,8313.0
Smiths Crinkle      Original 330g,34302.6
Smiths Crinkle Chips Salt & Vinegar 330g,34804.200000000004
Smiths Crinkle Cut  Chips Barbecue 170g,8125.8
Smiths Crinkle Cut  Chips Chicken 170g,8183.8
Smiths Crinkle Cut  Chips Chs&Onion170g,8111.3
Smiths Crinkle Cut  Chips Original 170g,8001.099999999999
Smiths Crinkle Cut  French OnionDip 150g,7046.0
Smiths Crinkle Cut  Salt & Vinegar 170g,7986.599999999999
Smiths Crinkle Cut  Snag&Sauce 150g,7412.6
Smiths Crinkle Cut  Tomato Salsa 150g,7168.2
Smiths Crnkle Chip  Orgnl Big Bag 380g,36367.6
Smiths Thinly       Swt Chli&S/Cream175G,8325.0
Smiths Thinly Cut   Roast Chicken 175g,8592.0
Snbts Whlgrn Crisps Cheddr&Mstrd 90g,5076.2
Sunbites Whlegrn    Crisps Frch/Onin 90g,4600.2
Thins Chips         Originl saltd 175g,8999.1
Thins Chips Light&  Tangy 175g,20113.5
Thins Chips Salt &  Vinegar 175g,19575.6
Thins Chips Seasonedchicken 175g,19753.8
Thins Potato Chips  Hot & Spicy 175g,20410.5
Tostitos Lightly    Salted 175g,25885.2
Tostitos Smoked     Chipotle 175g,26474.800000000003
Tostitos Splash Of  Lime 175g,27429.600000000002
Twisties Cheese     270g,27572.399999999998
Twisties Cheese     Burger 250g,26096.7
Twisties Chicken270g,27852.999999999996
Tyrrells Crisps     Ched & Chives 165g,26149.2
Tyrrells Crisps     Lightly Salted 165g,25498.2
WW Crinkle Cut      Chicken 175g,4702.2
WW Crinkle Cut      Original 175g,4532.2
WW D/Style Chip     Sea Salt 200g,5249.7
WW Original Corn    Chips 200g,5367.5
WW Original Stacked Chips 160g,5323.8
WW Sour Cream &OnionStacked Chips 160g,5323.8
WW Supreme Cheese   Corn Chips 200g,5390.3
Woolworths Cheese   Rings 190g,5169.6
Woolworths Medium   Salsa 300g,4050.0
Woolworths Mild     Salsa 300g,4234.5
